ErrorCode;ErrorMessage;ErrorType;CreateCase;CircuitBreaker;HTTPStatusCode;APIname;BSLProcess
BACL000006;[ERROR  Business Error inside BankAccountList process;Business;false;false;;;
BACL000007;[ERROR] Business error occured parsing the json string response received from Workday API BankAccountList call;Business;false;false;;;
GDRS000001;[ERROR] Error preparing the initial request during "uploadFile in gdrive" process;System;false;false;;;
GDRS000002;[ERROR] 4xx Error reported by Google during "uploadFile in gdrive";Business;false;false;;;
GDRS000003;[ERROR] 4xx Error reported by Google during "initialRequest" for uploadFile in gdrive;Business;false;false;;;
GDRS000004;[ERROR] Unknow error during "retrieveToken" process;System;false;false;;;
GDRS000005;[ERROR] Timeout error during "uploadFile" in gdrive;System;false;false;;;
GDRS000006;[ERROR] Communication error error during "initialRequest" for uploadFile in gdrive;System;false;false;;;
GDRS000007;[ERROR] Server error error during "initialRequest" for uploadFile in gdrive;System;false;false;;;
GDRS000008;[ERROR] Server error error during "uploadFile" in gdrive;System;false;false;;;
GDRS000009;[ERROR] Unknow error during "uploadFile" in gdrive;System;false;false;;;
GDRS000010;[ERROR] Processing stopped due to the missing token;System;false;false;;;
GDRS000011;[ERROR] Client error during the deletion of a file in gdrive;System;false;false;;;
GDRS000012;[ERROR] Communication error during the deletion of a file in gdrive;System;false;false;;;
GDRS000013;[ERROR] Server error during the deletion of a file in gdrive;System;false;false;;;
GDRS000014;[ERROR] Unknow error during the deletion of a file in gdrive;System;false;false;;;
AODC000001;[ERROR] System Exception time out inside InsertDocument process ;System;false;false;;;
AODC000002;[ERROR] Business Error inside InsertDocument process;Business;false;false;;;
AODC000003;[ERROR] System Exception Http Server Exception inside InsertDocument process;System;false;false;;;
AODC000004;[ERROR] Unknow error inside InsertDocument process;Business;false;false;;;
AODC000005;[ERROR] System exception error in http communication inside InsertDocument process;System;false;false;;;
AODC000006;[ERROR] System Exception time out inside UpdateDocument process ;System;false;false;;;
AODC000007;[ERROR] Business Error inside UpdateDocument process;Business;false;false;;;
AODC000008;[ERROR] System Exception Http Server Exception inside UpdateDocument process;System;false;false;;;
AODC000009;[ERROR] Unknow error inside UpdateDocument process;Business;false;false;;;
AODC000010;[ERROR] System exception error in http communication inside UpdateDocument process;System;false;false;;;
AODC000011;[ERROR] System Exception time out inside GetLibrary process ;System;false;false;;;
AODC000012;[ERROR] Business Error inside GetLibrary process;Business;false;false;;;
AODC000013;[ERROR] System exception error in http communication inside GetLibrary process;System;false;false;;;
AODC000014;[ERROR] System Exception Http Server Exception inside GetLibrary process;System;false;false;;;
AODC000015;[ERROR] Unknow error inside GetLibrary process;Business;false;false;;;
AODC000016;[ERROR] Business Error inside GetLibrary process;Business;false;false;;;
AODC000017;[ERROR] Validation ERROR on GetLibrary process. Validation structure and library Output not aligned;Business;false;false;;;
AODC000018;[ERROR] System Exception time out inside SearchDocument process ;System;false;false;;;
AODC000019;[ERROR] Business Error inside SearchDocument process;Business;false;false;;;
AODC000020;[ERROR] System exception error in http communication inside SearchDocument process;System;false;false;;;
AODC000021;[ERROR] System Exception Http Server Exception inside SearchDocument process;System;false;false;;;
AODC000022;[ERROR] Unknow error inside SearchDocument process;Business;false;false;;;
AODC000023;[ERROR] Business Error inside SearchDocument process;Business;false;false;;;
AODC000024;[ERROR] System Exception time out inside GetLibraryClass process ;System;false;false;;;
AODC000025;[ERROR] Business Error inside GetLibraryClass process;Business;false;false;;;
AODC000026;[ERROR] System exception error in http communication inside GetLibraryClass process;System;false;false;;;
AODC000027;[ERROR] System Exception Http Server Exception inside GetLibraryClass process;System;false;false;;;
AODC000028;[ERROR] Unknow error inside GetLibraryClass process;Business;false;false;;;
AODC000029;[ERROR] Business Error inside GetLibraryClass process;Business;false;false;;;
AODC000030;[ERROR] System Exception time out on retrieve Token Service;System;false;false;;;
AODC000031;[ERROR] Business Error creating the Access Token;Business;false;false;;;
AODC000032;[ERROR] System Exception Calling retrive Token Service;System;false;false;;;
AODC000033;[ERROR] Unknow error during "retrieveToken" process;Business;false;false;;;
AODC000034;[ERROR] Error occured parsing the Insert Document Request;Business;false;false;;;
AODC000035;[ERROR] Error occured  rendering the JSON Request for Insert Document AODocs API call;Business;false;false;;;
AODC000036;[ERROR] Generic Error occured  preparing the JSON Request for Insert Document AODocs API call ;Business;false;false;;;
AODC000037;[ERROR] Business error occured parsing the AODocs patchDocument Response ;Business;false;false;400;;
AODC000038;[ERROR] Business error occured rendering the json payload for the AODocs patchDocument API call ;Business;false;false;400;;
AODC000039;[ERROR] Generic System Error occured during the AddAttachment/PatchDocument Process ;System;false;false;500;;
AODC000040;[ERROR] System Exception time out inside LockAOdocs process ;System;false;false;;;
AODC000041;[ERROR] Business Error inside LockAOdocs process;Business;false;false;;;
AODC000042;[ERROR] System exception error in http communication inside LockAOdocs process;System;false;false;;;
AODC000043;[ERROR] System Exception Http Server Exception inside LockAOdocs process;System;false;false;;;
AODC000044;[ERROR] Unknow error inside LockAOdocs process;Business;false;false;;;
AODC000045;[ERROR] System Exception time out inside UnLockAOdocs process ;System;false;false;;;
AODC000046;[ERROR] Business Error inside UnLockAOdocs process;Business;false;false;;;
AODC000047;[ERROR] System exception error in http communication inside UnLockAOdocs process;System;false;false;;;
AODC000048;[ERROR] System Exception Http Server Exception inside UnLockAOdocs process;System;false;false;;;
AODC000049;[ERROR] Unknow error inside UnLockAOdocs process;Business;false;false;;;
AODC000050;[ERROR] System Exception time out inside GetDocument process ;System;false;false;;;
AODC000051;[ERROR] Business Error inside GetDocument process;Business;false;false;;;
AODC000052;[ERROR] System Exception Http Server Exception inside GetDocument process;System;false;false;;;
AODC000053;[ERROR] Unknow error inside GetDocument process;Business;false;false;;;
AODC000054;[ERROR] System exception error in http communication inside GetDocument process;System;false;false;;;
AODC000055;[ERROR] Business error occured calling listWorflows AODocs API;Business;false;false;;;
AODC000056;[ERROR] System error occured calling listWorflows AODocs API;System;false;false;;;
AODC000057;[ERROR] Unknown error occured calling listWorflows AODocs API;System;false;false;;;
AODC000058;[ERROR] Business error occured parsing the json response received from the  listWorflows AODocs API call;Business;false;false;;;
AODC000059;[ERROR] Business error occured calling changeStateDocument AODocs API;Business;false;false;;;
AODC000060;[ERROR] System error occured calling changeStateDocument AODocs API;System;false;false;;;
AODC000061;[ERROR] Unknown error occured calling changeStateDocument AODocs API;System;false;false;;;
AODC000062;[ERROR] Unknown error occured on TCI during the orchestrator process called to change the Document State (AODocs);System;false;false;;;
AODC000063;[ERROR] Input Library not present in the list of libraries retrieved;Business;false;false;;;
AODC000064;[ERROR] HTTP Client Exception error occurred calling AODocs InsertDocument API;System;false;false;;;
